Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","WaterPlant Earth Back",-70.000000,-126.400000,180.000000,bottom
"G***","LOGO","WaterPlant Earth Back",-86.000000,-126.400000,180.000000,bottom
"L1","Logo_OSH","Logo_OSHW_Silk_10mm",-70.000000,-42.800000,180.000000,bottom
"L1","Logo_OSH","Logo_OSHW_Silk_10mm",-86.000000,-42.800000,180.000000,bottom
"Logo1","Logo_Airic_Lenz","Logo_AiricLenz_Silk_15mm",-86.000000,-61.500000,270.000000,bottom
"Logo1","Logo_Airic_Lenz","Logo_AiricLenz_Silk_15mm",-70.000000,-61.500000,270.000000,bottom
"C8","C_Soil","WaterPlant_C_Soil",86.000000,-141.000000,0.000000,top
"C8","C_Soil","WaterPlant_C_Soil",70.000000,-141.000000,0.000000,top
"C11","1u","Device_0603_Handsoldering",65.600000,-61.000000,0.000000,top
"C12","1u","Device_0603_Handsoldering",65.600000,-53.800000,180.000000,top
"C13","4.7uF","Device_0603_Handsoldering",75.400000,-56.600000,90.000000,top
"C14","4.7uF","Device_0603_Handsoldering",68.600000,-56.600000,90.000000,top
"C15","0.1u","Device_0603_Handsoldering",65.000000,-82.000000,90.000000,top
"C16","1u","Device_0603_Handsoldering",66.600000,-82.000000,90.000000,top
"C17","1u","Device_0603_Handsoldering",74.800000,-98.000000,270.000000,top
"C21","1u","Device_0603_Handsoldering",81.600000,-61.000000,0.000000,top
"C22","1u","Device_0603_Handsoldering",81.600000,-53.800000,180.000000,top
"C23","4.7uF","Device_0603_Handsoldering",91.400000,-56.600000,90.000000,top
"C24","4.7uF","Device_0603_Handsoldering",84.600000,-56.600000,90.000000,top
"C25","0.1u","Device_0603_Handsoldering",81.000000,-82.000000,90.000000,top
"C26","1u","Device_0603_Handsoldering",82.600000,-82.000000,90.000000,top
"C27","1u","Device_0603_Handsoldering",90.800000,-98.000000,270.000000,top
"D11","LED_BLUE","LED_0805_Handsoldering",72.200000,-59.600000,180.000000,top
"D12","D_Small","Diode_0603_Handsoldering",65.600000,-62.600000,0.000000,top
"D13","LED_RED","LED_0805_Handsoldering",71.800000,-81.800000,90.000000,top
"D14","D_Small","Diode_0603_Handsoldering",71.600000,-98.000000,270.000000,top
"D21","LED_BLUE","LED_0805_Handsoldering",88.200000,-59.600000,180.000000,top
"D22","D_Small","Diode_0603_Handsoldering",81.600000,-62.600000,0.000000,top
"D23","LED_RED","LED_0805_Handsoldering",87.800000,-81.800000,90.000000,top
"D24","D_Small","Diode_0603_Handsoldering",87.600000,-98.000000,270.000000,top
"F11","JK-SMD0603-005","Device_0603_Handsoldering",65.600000,-64.200000,0.000000,top
"F21","JK-SMD0603-005","Device_0603_Handsoldering",81.600000,-64.200000,0.000000,top
"FID1","Fiducial","Fiducial",65.000000,-30.000000,0.000000,top
"FID1","Fiducial","Fiducial",81.000000,-30.000000,0.000000,top
"FID2","Fiducial","Fiducial",74.500000,-118.250000,0.000000,top
"FID2","Fiducial","Fiducial",90.500000,-118.250000,0.000000,top
"G***","LOGO","WaterPlant Earth Front",70.000000,-126.400000,0.000000,top
"G***","LOGO","WaterPlant Earth Front",86.000000,-126.400000,0.000000,top
"G***","LOGO","Logo_WiFi_Silk_4mm",70.000000,-39.500000,0.000000,top
"G***","LOGO","Logo_WiFi_Silk_4mm",86.000000,-39.500000,0.000000,top
"MOD1","nRF24L01","Module_nRF24L01_SMD",70.000000,-50.000000,0.000000,top
"MOD1","nRF24L01","Module_nRF24L01_SMD",86.000000,-50.000000,0.000000,top
"R11","2k","Device_0603_Handsoldering",69.800000,-53.800000,180.000000,top
"R12","2k","Device_0603_Handsoldering",74.200000,-53.800000,180.000000,top
"R13","2k","Device_0603_Handsoldering",70.000000,-82.000000,270.000000,top
"R14","10k","Device_0603_Handsoldering",68.200000,-82.000000,270.000000,top
"R15","10k","Device_0603_Handsoldering",70.000000,-98.000000,270.000000,top
"R16","510k","Device_0603_Handsoldering",73.200000,-98.000000,90.000000,top
"R21","2k","Device_0603_Handsoldering",85.800000,-53.800000,180.000000,top
"R22","2k","Device_0603_Handsoldering",90.200000,-53.800000,180.000000,top
"R23","2k","Device_0603_Handsoldering",86.000000,-82.000000,270.000000,top
"R24","10k","Device_0603_Handsoldering",84.200000,-82.000000,270.000000,top
"R25","10k","Device_0603_Handsoldering",86.000000,-98.000000,270.000000,top
"R26","510k","Device_0603_Handsoldering",89.200000,-98.000000,90.000000,top
"U11","MCP1700-3002E_SOT23","SOT-23_Handsoldering",65.600000,-57.400000,270.000000,top
"U12","MCP73831-2-OT","SOT-23-5_HandSoldering",72.000000,-56.600000,0.000000,top
"U13","ATtiny84-20SSU","SOIC-14_3.9x8.7mm_P1.27mm",67.600000,-89.000000,0.000000,top
"U21","MCP1700-3002E_SOT23","SOT-23_Handsoldering",81.600000,-57.400000,270.000000,top
"U22","MCP73831-2-OT","SOT-23-5_HandSoldering",88.000000,-56.600000,0.000000,top
"U23","ATtiny84-20SSU","SOIC-14_3.9x8.7mm_P1.27mm",83.600000,-89.000000,0.000000,top
