Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","Device_0603_Handsoldering",65.600000,-61.000000,0.000000,top
"C2","1u","Device_0603_Handsoldering",65.600000,-53.800000,180.000000,top
"C3","4.7uF","Device_0603_Handsoldering",75.400000,-56.600000,90.000000,top
"C4","4.7uF","Device_0603_Handsoldering",68.600000,-56.600000,90.000000,top
"C5","0.1u","Device_0603_Handsoldering",65.000000,-82.000000,90.000000,top
"C6","1u","Device_0603_Handsoldering",66.600000,-82.000000,90.000000,top
"C7","1u","Device_0603_Handsoldering",74.800000,-98.000000,270.000000,top
"C8","C_Soil","WaterPlant_C_Soil",70.000000,-141.000000,0.000000,top
"D1","LED_BLUE","LED_0805_Handsoldering",72.200000,-59.600000,180.000000,top
"D2","D_Small","Diode_0603_Handsoldering",65.600000,-62.600000,0.000000,top
"D3","LED_RED","LED_0805_Handsoldering",71.800000,-81.800000,90.000000,top
"D4","D_Small","Diode_0603_Handsoldering",71.600000,-98.000000,270.000000,top
"F1","JK-SMD0603-005","Device_0603_Handsoldering",65.600000,-64.200000,0.000000,top
"FID1","Fiducial","Fiducial",65.000000,-30.000000,0.000000,top
"FID2","Fiducial","Fiducial",74.500000,-118.250000,0.000000,top
"G***","LOGO","WaterPlant Earth Front",70.000000,-126.400000,0.000000,top
"G***","LOGO","Logo_WiFi_Silk_4mm",70.000000,-39.500000,0.000000,top
"MOD1","nRF24L01","Module_nRF24L01_SMD",70.000000,-50.000000,0.000000,top
"R1","2k","Device_0603_Handsoldering",69.800000,-53.800000,180.000000,top
"R2","2k","Device_0603_Handsoldering",74.200000,-53.800000,180.000000,top
"R3","2k","Device_0603_Handsoldering",70.000000,-82.000000,270.000000,top
"R4","10k","Device_0603_Handsoldering",68.200000,-82.000000,270.000000,top
"R5","10k","Device_0603_Handsoldering",70.000000,-98.000000,270.000000,top
"R6","510k","Device_0603_Handsoldering",73.200000,-98.000000,90.000000,top
"U1","MCP1700-3002E_SOT23","SOT-23_Handsoldering",65.600000,-57.400000,270.000000,top
"U2","MCP73831-2-OT","SOT-23-5_HandSoldering",72.000000,-56.600000,0.000000,top
"U3","ATtiny84-20SSU","SOIC-14_3.9x8.7mm_P1.27mm",67.600000,-89.000000,0.000000,top
